n_iteracion,fScoreMacro,fScoreMicro,fScoreWeighted,precision,recall,max_depth,min_samples_leaf
0,0.899749373433584,0.9,0.8997493734335841,0.8181818181818182,0.9,3,1
1,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.8333333333333334,1.0,3,1
2,0.899749373433584,0.9,0.8997493734335841,0.8181818181818182,0.9,3,1
3,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.8333333333333334,1.0,3,1
4,0.899749373433584,0.9,0.8997493734335841,0.8181818181818182,0.9,3,1
5,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.8333333333333334,1.0,3,1
