n_iteracion,fScoreMacro,fScoreMicro,fScoreWeighted,precision,recall,max_depth,min_samples_leaf
0,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5,1.0,1,1
1,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5,1.0,1,2
2,0.9333333333333332,0.9333333333333333,0.9333333333333333,0.9,0.9,4,1
3,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.8333333333333334,1.0,4,2
